Size  Left  Right  Middle  Median  Random
0    0.0    0.0    0.0    0.0    0.0    
1000    15.0    16.0    0.0    0.0    0.0    
2000    47.0    78.0    0.0    0.0    0.0    
3000    125.001    140.0    16.0    0.0    0.0    
4000    219.0    281.0    0.0    0.0    16.0    
5000    359.001    453.0    0.0    0.0    16.0    
6000    531.001    656.0    16.0    0.0    16.0    
7000    718.001    907.001    0.0    0.0    31.0    
8000    937.001    1203.001    0.0    0.0    32.0    
9000    1218.001    1532.002    15.0    0.0    16.0    
10000    1484.001    1922.002    0.0    15.0    32.0    
11000    1843.002    2313.003    0.0    16.0    15.0    
12000    2156.002    2704.002    15.0    0.0    31.0    
13000    2547.003    3203.003    0.0    16.0    31.0    
14000    2969.003    3750.004    16.0    0.0    47.0    
15000    3468.004    4328.003    16.0    0.0    47.0    
16000    3859.004    4844.005    0.0    15.0    32.0    
17000    4359.004    5500.006    0.0    16.0    46.0    
18000    4891.005    6234.006    0.0    16.0    47.0    
19000    5500.005    6875.006    0.0    16.0    46.0    
20000    6047.006    7594.008    16.0    15.0    47.0    
21000    6735.007    8453.008    15.0    16.0    47.0    
22000    7484.008    9375.008    16.0    15.0    63.0    
23000    8250.008    10359.011    16.0    16.0    62.0    
24000    9063.009    11265.01    16.0    15.0    63.0    
25000    9781.01    12235.012    0.0    15.0    78.0    
26000    10453.011    13125.012    16.0    16.0    62.0    
27000    11235.011    14109.014    16.0    15.0    78.001    
28000    12078.011    17047.017    16.0    31.0    78.0    
29000    14563.014    18719.018    15.0    16.0    78.0    
30000    16297.016    19187.019    16.0    16.0    78.0    
31000    17062.017    20500.02    31.0    16.0    94.0    
32000    16703.016    20766.021    15.0    16.0    94.0    
33000    17719.017    22234.022    16.0    16.0    93.0    
34000    18969.018    23703.024    16.0    31.0    94.0    
35000    19375.018    23969.024    15.0    31.0    94.0    
36000    20469.02    25500.025    31.0    16.0    109.001    
37000    21672.02    27141.027    15.0    32.0    109.0    
38000    23156.023    28844.028    31.0    16.0    109.0    
39000    24375.024    30250.029    31.0    16.0    109.0    
40000    25500.025    32094.032    31.0    32.0    125.0    
41000    29218.028    33219.033    16.0    31.0    109.0    
42000    27750.028    34625.033    32.0    15.0    125.0    
43000    29000.028    36219.036    16.0    31.0    125.0    
44000    30391.029    38031.038    31.0    31.0    125.0    
45000    31782.031    41515.041    31.0    16.0    141.0    
46000    33250.032    41484.041    31.0    32.0    125.0    
47000    34921.034    43485.042    31.0    31.0    125.0    
48000    36266.036    46250.045    31.0    47.0    156.0    
49000    42782.042    51593.051    32.0    31.0    156.0    
50000    43344.042    52953.052    47.0    31.0    156.0    

