Size  Left  Right  Middle  Median  Random
0    0.0    0.0    0.0    0.0    0.0    
1000    0.0    0.0    0.0    0.0    78.0    
2000    0.0    0.0    0.0    0.0    0.0    
3000    0.0    0.0    15.0    0.0    0.0    
4000    0.0    15.0    0.0    0.0    16.0    
5000    0.0    0.0    16.0    0.0    16.0    
6000    16.0    0.0    0.0    0.0    16.0    
7000    16.0    0.0    0.0    16.0    15.0    
8000    0.0    16.0    0.0    0.0    31.0    
9000    0.0    0.0    16.0    0.0    31.0    
10000    16.0    0.0    15.0    0.0    32.0    
11000    16.0    0.0    16.0    0.0    31.0    
12000    0.0    16.0    15.0    0.0    31.0    
13000    16.0    0.0    15.0    16.0    31.0    
14000    0.0    16.0    15.0    0.0    47.0    
15000    0.0    16.0    16.0    15.0    32.0    
16000    16.0    15.0    0.0    16.0    47.0    
17000    16.0    16.0    15.0    16.0    47.0    
18000    16.0    16.0    15.0    16.0    47.0    
19000    16.0    15.0    16.0    16.0    46.0    
20000    0.0    16.0    31.0    16.0    46.0    
21000    15.0    16.0    16.0    15.0    63.0    
22000    15.0    16.0    31.0    16.0    62.0    
23000    15.0    16.0    31.0    16.0    62.0    
24000    16.0    15.0    32.0    15.0    63.0    
25000    16.0    31.0    16.0    15.0    78.0    
26000    16.0    15.0    32.0    15.0    78.0    
27000    15.0    31.0    16.0    31.0    78.0    
28000    15.0    31.0    16.0    31.0    78.0    
29000    16.0    31.0    16.0    31.0    78.0    
30000    16.0    31.0    31.0    16.0    94.0    
31000    15.0    32.0    15.0    31.0    94.0    
32000    32.0    15.0    31.0    32.0    93.0    
33000    16.0    31.0    31.0    16.0    93.0    
34000    32.0    31.0    16.0    31.0    109.0    
35000    15.0    31.0    32.0    31.0    109.0    
36000    16.0    31.0    31.0    31.0    110.0    
37000    31.0    31.0    32.0    31.0    109.0    
38000    31.0    31.0    32.0    31.0    109.0    
39000    16.0    47.0    31.0    31.0    110.0    
40000    31.0    31.0    47.0    31.0    110.0    
41000    31.0    31.0    47.0    31.0    110.0    
42000    31.0    32.0    31.0    31.0    125.0    
43000    31.0    47.0    32.0    31.0    125.0    
44000    31.0    32.0    46.0    32.0    125.0    
45000    31.0    47.0    31.0    47.0    141.0    
46000    31.0    47.0    47.0    31.0    141.0    
47000    47.0    47.0    47.0    31.0    141.0    
48000    31.0    47.0    47.0    47.0    156.0    
49000    47.0    31.0    47.0    47.0    141.0    
50000    31.0    47.0    47.0    31.0    156.0    

