Size  Ascending  Descending  Random
0    0.0    0.0    0.0    
1000    0.0    0.0    0.0    
2000    31.0    0.0    0.0    
3000    47.0    0.0    32.0    
4000    78.0    0.0    30.999    
5000    125.0    0.0    62.0    
6000    172.0    0.0    94.0    
7000    234.0    0.0    125.0    
8000    313.0    0.0    172.0    
9000    422.0    0.0    203.0    
10000    561.999    0.0    250.0    
11000    718.999    0.0    281.0    
12000    858.999    0.0    390.999    
13000    843.0    0.0    468.999    
14000    999.999    16.0    562.0    
15000    1202.998    0.0    657.0    
16000    1405.998    0.0    782.0    
17000    1624.998    0.0    983.999    
18000    2421.997    0.0    1124.999    
19000    2686.998    0.0    1218.998    
20000    3139.997    0.0    1343.999    
21000    3436.997    0.0    1546.998    
22000    3718.996    0.0    1733.998    
23000    3983.996    0.0    1858.999    
24000    4312.996    0.0    2030.998    
25000    4327.996    0.0    2202.998    
26000    4952.995    0.0    2452.997    
27000    5296.995    0.0    2624.997    
28000    5671.995    0.0    2858.997    
29000    6077.994    0.0    3061.998    
30000    6608.993    16.0    3312.997    
31000    6905.993    0.0    3468.996    
32000    7734.993    0.0    3717.996    
33000    7749.992    0.0    3952.997    
34000    8562.992    0.0    4233.995    
35000    8905.991    0.0    4405.996    
36000    9577.99    0.0    4718.997    
37000    10249.989    0.0    4999.995    
38000    10343.99    16.0    5264.995    
39000    11452.989    0.0    5561.995    
40000    11358.988    0.0    5890.995    
41000    11842.988    16.0    6187.993    
42000    12468.989    16.0    6499.993    
43000    13030.987    0.0    6703.994    
44000    14624.986    0.0    7014.993    
45000    15343.985    0.0    7327.992    
46000    16077.985    0.0    7640.993    
47000    16905.983    0.0    8014.993    
48000    17530.982    0.0    8374.992    
49000    16671.984    0.0    8749.991    
50000    19406.981    0.0    9233.991    

