Size	Ascending	Descending	Random
0	0	0	0
1000	0	0	0
2000	0	0	0
3000	0	15	0
4000	16	0	0
5000	0	0	16
6000	15	0	16
7000	15	16	0
8000	16	15	16
9000	15	16	16
10000	16	16	31
11000	31	16	15
12000	15	31	32
13000	16	31	31
14000	32	31	31
15000	31	31	47
16000	31	47	47
17000	47	47	46
18000	47	63	46
19000	63	47	62
20000	62	63	62
21000	78	63	78
22000	78	78	78
23000	78	78	94
24000	94	78	94
25000	94	94	109
26000	110	93	110
27000	110	93	125
28000	109	125	125
29000	125	125	125
30000	140	125	141
31000	141	141	156
32000	140	157	156
33000	156	157	156
34000	156	172	172
35000	187	172	188
36000	188	187	188
37000	203	187	203
38000	203	219	203
39000	204	218	219
40000	219	234	234
41000	234	234	250
42000	250	250	265
43000	250	265	266
44000	265	266	297
45000	281	297	281
46000	296	297	313
47000	313	312	313
48000	313	328	328
49000	344	328	359
50000	344	344	359




