Size  Ascending  Descending  Random
0    0.0    0.0    0.0    
1000    0.0    16.0    0.0    
2000    16.0    31.0    31.0    
3000    31.0    78.0    63.0    
4000    31.0    141.0    94.0    
5000    63.0    203.0    125.0    
6000    93.0    282.0    187.0    
7000    110.0    390.0    266.0    
8000    156.0    516.0    344.0    
9000    203.0    797.0    469.0    
10000    313.0    828.0    547.0    
11000    297.0    1219.0    687.0    
12000    359.0    1469.0    875.0    
13000    422.0    1610.0    1062.0    
14000    484.0    2063.0    1250.0    
15000    672.0    2422.0    1469.0    
16000    641.0    2.5e3    1672.0    
17000    718.0    2844.0    1922.0    
18000    797.0    3235.0    2187.0    
19000    906.0    3657.0    2250.0    
20000    1079.0    4078.0    2547.0    
21000    1094.0    4531.0    2781.0    
22000    1203.0    5016.0    3062.0    
23000    1312.0    5579.0    3390.0    
24000    1469.0    6140.0    3719.0    
25000    1547.0    6719.0    4046.0    
26000    1687.0    6641.0    4437.0    
27000    1813.0    7172.0    4797.0    
28000    1969.0    7781.0    5234.0    
29000    2110.0    8437.0    5672.0    
30000    2250.0    9.0e3    6078.0    
31000    2391.0    9687.0    6.0e3    
32000    2578.0    10469.0    6422.0    
33000    2719.0    10484.0    6813.0    
34000    2875.0    11859.0    7250.0    
35000    3078.0    11922.0    7797.0    
36000    3234.0    13469.0    8234.0    
37000    3437.0    14406.0    8797.0    
38000    3610.0    15219.0    9250.0    
39000    3828.0    16235.0    9828.0    
40000    4094.0    17203.0    10406.0    
41000    4313.0    19406.0    11625.0    
42000    4610.0    20531.0    12266.0    
43000    4860.0    2.15e4    12828.0    
44000    5109.0    22797.0    13547.0    
45000    5328.0    24078.0    14234.0    
46000    5547.0    25469.0    15078.0    
47000    5843.0    2.65e4    14875.0    
48000    5719.0    23047.0    15515.0    
49000    6141.0    24250.0    16375.0    
50000    6235.0    25171.0    15657.0    

